TF,Rank,Freq
MYB85,1,1600
NST2,2,800
SND1,3,533
MYB63,4,400
MGP,5,320
MYB43,6,267
MYB58,7,229
LBD15,8,200
AT1G07520,9,178
MYB86,10,160
SND2,11,145
XND1,12,133
bZIP6,13,123
GATA12,14,114
NAC001,15,107
NGA3,16,100
LHY1,17,94
GIF2,18,89
AT1G01250,19,84
AT1G01260,20,80
AT1G01350,21,76
ETC1,22,73
ASG4,23,70
NST1,24,67
MYB103,25,64
MYB46,26,62
MYB61,27,59
AGL28,28,57
ATAF1,29,55
PLIM2b,30,53
AT1G01920,31,52
NAC003,32,50
NAC005,33,48
RSF1,34,47
SDG5,35,46
AT1G03040,36,44
NAC006,37,43
SOM,38,42
SND2,39,41
GBF4,40,40
SUVR1,41,39
IAA10,42,38
SHY2,43,37
AT1G04500,44,36
IAA12,45,36
AT1G04880,46,35
AT1G04990,47,34
HDG2,48,33
AT1G05290,49,33
AT1G05380,50,32
BT3,51,31
SDG30,52,31
AT1G06070,53,30
ORA59,54,30
AT1G06170,55,29
MYB13,56,29
bZIP52,57,28
AT1G07050,58,28
MYB69,59,27
SCL14,60,27
OBP2,61,26
NF-YC10,62,26
GATA11,63,25
TGA9,64,25
PKDM7D,65,25
MYB60,66,24
NF-YC9,67,24
NF-YB4,68,24
AT1G09060,69,23
POC1,70,23
CDC5,71,23
AT1G10120,72,22
WLIM1,73,22
AT1G10320,74,22
ZFP5,75,21
AT1G10585,76,21
AT1G10610,77,21
AT1G11950,78,21
VND4,79,20
DDF1,80,20
AT1G12630,81,20
SCRM2,82,20
RAV1,83,19
WIP6,84,19
HRS1,85,19
NUB,86,19
GT-1,87,18
bZIP58,88,18
WRKY4,89,18
AT1G14030,90,18
MYB124,91,18
WHY1,92,17
ZHD4,93,17
AL7,94,17
AT1G14580,95,17
BPC2,96,17
ZHD14,97,16
RGA2,98,16
IAA34,99,16
WIN1,100,16
IAA5,101,16
TRFL5,102,16
ADAP,103,16
TLP8,104,15
LBD3,105,15
AT1G16640,106,15
HAC12,107,15
AT1G17310,108,15
TIFY11A,109,15
TRFL3,110,15
AT1G17520,111,14
NF-YA8,112,14
HDG12,113,14
MYB52,114,14
BEE1,115,14
MYB51,116,14
MYB47,117,14
AGL65,118,14
WRKY61,119,13
AT1G19000,120,13
AT1G19040,121,13
TIFY10A,122,13
AT1G19210,123,13
IAA22,124,13
DA1,125,13
BLH10,126,13
MP,127,13
AT1G20640,128,13
NFD2,129,12
NFD3,130,12
WOX14,131,12
AT1G20910,132,12
SPL1R2,133,12
AT1G21000,134,12
AT1G21200,135,12
AT1G21340,136,12
SCL1,137,12
DREB26,138,12
NF-YB9,139,12
TGA3,140,11
AGL104,141,11
RAP2.4,142,11
AT1G22490,143,11
AGL87,144,11
MYB3,145,11
AT1G22810,146,11
CRF7,147,11
KNAT6S,148,11
INO,149,11
AT1G24260,150,11
ZFP7,151,11
IDD16,152,11
TLP10,153,10
HAF,154,10
MYB116,155,10
CRF12,156,10
AT1G25550,157,10
TEM1,158,10
SOG1,159,10
CIB5,160,10
CAL1,161,10
AT1G26590,162,10
AT1G26610,163,10
AT1G26680,164,10
MYB117,165,10
AT1G26790,166,10
FEZ,167,10
HB23,168,10
AT1G27050,169,9
SPL11,170,9
SPL10,171,9
ATU2AF35A,172,9
ZAT10,173,9
RSL4,174,9
AT1G28050,175,9
AT1G28160,176,9
LEC2,177,9
ERF12,178,9
ERF11,179,9
HB-1,180,9
AGL58,181,9
AGL59,182,9
VOZ1,183,9
AT1G29160,184,9
WRKY65,185,9
AT1G29570,186,9
AT1G29600,187,9
WRKY71,188,9
TIFY5A,189,8
TCP24,190,8
ARF6,191,8
CPSF30,192,8
PHV,193,8
NF-YA7,194,8
WRKY14,195,8
AT1G30810,196,8
SUF4,197,8
AT1G31040,198,8
LBD4,199,8
AGL86,200,8
AGL92,201,8
bZIP68,202,8
KAN2,203,8
HSFA1D,204,8
AT1G32360,205,8
ZBF1,206,8
NAC13,207,8
NAC014,208,8
GTL1,209,8
NAC015,210,8
AT1G33420,211,8
AT1G33760,212,8
ARF13,213,8
NAC016,214,7
NAC017,215,7
ARF12,216,7
PS1,217,7
STOP1,218,7
ARF21,219,7
HDG10,220,7
MYB93,221,7
AT1G35460,222,7
AT1G35490,223,7
MYB8,224,7
AT1G35560,225,7
LBD5,226,7
AT1G36060,227,7
BZIP60,228,7
AT1G43000,229,7
RAP2.6,230,7
TLP5,231,7
VIP1,232,7
AT1G43770,233,7
ARF23,234,7
AT1G44810,235,7
AT1G44830,236,7
SCZ,237,7
RAP2.1,238,7
TLP6,239,7
AT1G47655,240,7
E2FC,241,7
MYB112,242,7
TIFY6A,243,7
AT1G49010,244,7
RR19,245,7
RTV1,246,7
AT1G49560,247,6
ABF1,248,6
AT1G49900,249,6
TRB1,250,6
SCL3,251,6
SCL5,252,6
AT1G50620,253,6
ERF3,254,6
AT1G50680,255,6
bHLH115,256,6
AT1G51140,257,6
PLT2,258,6
ZML2,259,6
DOF1,260,6
IAA18,261,6
ICU4,262,6
SHY1,263,6
NARS2,264,6
NAC019,265,6
SPL4,266,6
ERF8,267,6
TCP3,268,6
TLP7,269,6
RAP2.12,270,6
ASIL1,271,6
NFYA5,272,6
NAC020,273,6
ING2,274,6
NF-YC3,275,6
IDD7,276,6
SCL18,277,6
WRKY10,278,6
AT1G55950,279,6
HAG4,280,6
NAC1,281,6
MYB72,282,6
NF-YC2,283,6
SIAA1,284,6
MYB50,285,6
TCP8,286,6
AT1G58110,287,6
AT1G58220,288,6
